Analyse 1,Algebre 1,Electrostatique et Magnetostatique,Mecanique du Point,Architecture des Ordinateurs,Tec1,Electrocinetique et Optique Geometrique,Analyse2,Outils Informatiques,Algebre 2,Chimie Generale,Tec2 et Anglais,Mecanique du Solide,Algebre 3,Analyse 3,Thermodynamique et Statique des Fluides,Tec et Anglais 2,Electromagnetisme et Optique Physique,Electronique,Analyse 4,Probabilites et Statistiques,Programmation C,Dao et Materiaux,Organisation Entreprise et Economie,Moyenne,Moyenne de Baccalaureat,Region d'Origine,Filiere choisie
10,15,9,11,15,10,9,12,15,13,15,12,14,14,9,13,10,12,15,12,11,11,15,12,12.25,15.033929230335282,Marrakech-Safi,Genie Industriel
13,10,14,14,12,9,14,12,9,11,15,13,15,15,13,15,11,9,13,15,9,12,9,15,12.375,16.150024429500302,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,13,13,12,14,13,14,14,11,11,15,11,15,15,11,15,10,14,14,11,14,13,13,15,13.166666666666666,15.895161711307512,Beni Mellal-Khenifra,Genie de Procedes de l'Energie et de l'Environnement
10,11,12,15,9,13,11,10,14,9,15,14,15,12,12,12,14,13,14,15,10,13,14,9,12.333333333333334,13.904851499542762,Marrakech-Safi,Genie Industriel
9,11,11,9,12,10,10,9,14,10,14,9,13,12,12,10,10,13,14,10,12,12,14,11,11.291666666666666,15.309009110738222,Souss-Massa,Genie Industriel
14,9,12,14,9,15,14,13,15,10,15,13,14,9,15,15,13,9,15,12,10,15,11,14,12.708333333333334,16.588397893214193,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,15,15,12,9,12,10,14,11,11,15,9,13,10,10,15,14,13,10,9,11,10,13,13,11.916666666666666,16.437254488854634,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,13,14,14,15,13,14,10,9,10,15,15,14,13,14,15,12,10,15,9,12,11,10,13,12.666666666666666,16.290664357783093,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
11,14,13,13,14,14,14,11,15,12,15,13,10,11,10,15,9,14,14,10,10,13,9,11,12.291666666666666,15.383470020398466,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,14,10,11,14,14,14,14,14,9,15,14,11,13,10,15,12,12,14,14,13,9,15,12,12.583333333333334,15.535439868523737,Souss-Massa,Genie Industriel
11,12,12,12,14,13,15,14,14,11,14,14,10,13,10,12,10,12,14,12,11,11,14,14,12.458333333333334,17.478030562198576,Souss-Massa,Genie Industriel
9,15,11,9,14,15,11,12,10,9,15,9,13,9,10,15,10,12,9,9,11,11,13,14,11.458333333333334,12.739642552770368,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,12,9,15,12,14,9,13,13,11,15,12,14,11,10,15,11,12,11,12,13,14,14,14,12.291666666666666,16.250890542164864,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,10,11,14,14,12,14,15,14,14,15,13,9,12,13,11,11,15,14,9,14,13,15,12,12.833333333333334,16.490951170162855,Marrakech-Safi,Genie Industriel
9,10,9,9,12,10,15,13,14,12,15,10,15,15,9,15,9,12,11,10,9,14,15,9,11.708333333333334,17.25102727907618,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,14,9,15,14,15,11,12,15,15,15,10,12,10,13,15,10,11,12,14,15,13,9,11,12.583333333333334,16.77819279124878,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,11,11,12,9,10,9,13,11,12,15,15,9,15,10,15,13,12,10,15,9,13,10,14,11.875,14.595841174614431,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,15,15,14,10,15,12,14,9,14,15,15,12,12,14,15,12,11,14,11,10,10,14,10,12.583333333333334,13.175672682887306,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,12,10,9,13,13,12,12,14,11,14,13,11,11,14,11,9,11,14,12,13,10,15,9,11.916666666666666,16.51770695179439,Souss-Massa,Genie Industriel
11,12,11,9,10,12,11,9,13,10,15,11,11,10,9,15,14,12,11,14,9,9,12,14,11.416666666666666,16.008429042989647,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,15,12,11,14,14,11,9,14,11,15,13,12,13,13,15,12,11,12,13,10,13,14,14,12.75,15.285414609429926,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,14,11,11,14,15,13,15,14,15,14,11,11,12,14,14,12,15,14,14,13,15,15,15,13.458333333333334,15.809749446025172,Souss-Massa,Genie Industriel
15,9,14,14,11,13,14,14,14,15,15,9,9,13,10,10,10,12,14,14,14,9,15,13,12.5,16.680548666029978,Draa-Tafilalet,Genie Industriel
10,15,11,14,15,11,15,13,12,15,15,15,11,14,13,15,9,13,10,14,11,11,10,10,12.583333333333334,13.083667160534375,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,13,9,15,9,14,9,15,12,12,12,10,10,10,11,15,13,12,15,9,9,10,15,15,11.958333333333334,17.298605274951747,Souss-Massa,Genie Civil(BTP)
12,14,12,15,9,13,9,9,12,15,15,9,12,14,13,15,9,9,9,9,10,11,10,13,11.583333333333334,15.967616617779054,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
14,9,13,13,9,14,13,15,13,14,15,9,15,11,11,15,12,11,10,11,9,12,15,15,12.416666666666666,17.024606776550513,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,11,14,11,10,11,12,15,14,9,14,13,12,14,13,13,11,11,14,10,13,12,15,10,12.291666666666666,12.173944504772166,Souss-Massa,Genie Industriel
9,13,9,10,9,15,9,12,14,11,14,14,14,13,10,15,15,12,15,10,10,9,14,15,12.125,16.03179246344437,Souss-Massa,Genie Industriel
12,15,12,9,14,15,13,14,15,10,15,9,13,12,10,15,14,14,11,13,9,13,11,9,12.375,17.686433732965614,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,9,10,15,15,12,14,12,9,9,15,11,10,14,10,15,14,14,12,10,9,12,12,13,11.916666666666666,15.855150208128729,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,9,12,11,15,13,12,15,11,15,15,10,11,9,15,15,14,14,11,15,12,11,14,10,12.458333333333334,17.276706535443857,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
10,11,13,15,15,11,13,10,9,14,15,15,14,14,9,15,10,12,15,11,13,12,13,15,12.666666666666666,15.793745239514935,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
12,11,11,12,10,9,11,12,14,9,14,11,15,13,9,10,10,10,14,15,10,15,15,9,11.708333333333334,15.773640855754412,Marrakech-Safi,Genie Industriel
13,11,15,15,10,11,14,13,14,13,10,12,12,14,9,15,9,13,15,10,10,11,15,12,12.333333333333334,16.157056893140407,Souss-Massa,Genie Civil(BTP)
11,11,14,10,13,11,13,13,10,11,15,15,15,15,13,15,14,9,11,12,10,11,15,13,12.5,16.684887758314495,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,15,14,11,14,15,13,15,15,9,15,13,12,13,15,15,12,13,10,11,13,12,9,14,12.916666666666666,16.806265302558554,Tanger-Tetouan-Al Hoceima,Genie de Procedes de l'Energie et de l'Environnement
12,13,11,10,14,12,9,9,13,10,15,10,9,12,12,15,15,15,14,11,12,14,9,15,12.125,17.949829833710197,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
12,15,10,10,10,9,13,10,9,13,15,12,11,10,11,15,15,11,10,13,10,10,14,15,11.791666666666666,17.584689300049696,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,9,12,15,9,9,13,14,15,14,14,13,12,14,14,15,12,15,12,14,15,15,14,9,13.041666666666666,17.621763594147698,Souss-Massa,Genie Mecanique
12,11,10,10,12,10,10,13,13,11,15,15,14,10,12,15,15,9,15,11,13,12,13,10,12.125,15.882449859240346,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
13,15,12,15,15,9,13,15,15,13,9,9,12,12,11,15,10,13,15,10,14,12,15,12,12.666666666666666,17.70454992751405,Souss-Massa,Genie Civil(BTP)
11,11,9,11,10,10,9,12,9,11,15,9,15,11,9,15,10,9,10,9,15,14,11,13,11.166666666666666,16.201941529060193,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,10,10,15,9,12,13,9,13,10,15,13,10,10,11,15,12,10,15,13,12,11,14,13,12.083333333333334,14.851967401383746,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
11,14,10,12,13,11,13,12,14,9,14,12,9,9,11,10,11,9,15,15,14,10,14,15,11.958333333333334,16.816784767239405,Marrakech-Safi,Genie Industriel
13,15,15,12,10,12,12,11,11,12,15,11,10,13,11,15,14,13,13,14,15,13,13,9,12.583333333333334,15.44809379141762,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,11,14,10,13,14,12,9,15,11,15,15,15,14,12,9,11,9,14,11,9,9,14,12,12.125,13.379913941163526,Oriental,Genie Industriel
9,12,14,12,10,14,9,14,9,12,15,12,15,10,12,15,14,15,9,12,9,10,12,12,11.958333333333334,17.77903010015855,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,15,13,13,14,9,9,13,15,12,15,14,15,9,9,11,9,15,14,14,13,9,14,13,12.333333333333334,12.935961431238931,Laayoune-Sakia El Hamra,Genie Industriel
10,12,15,13,12,10,12,11,14,10,15,9,14,13,13,15,11,13,12,10,13,11,10,11,12.041666666666666,13.025844025163236,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
12,10,11,15,10,13,14,11,12,15,15,12,9,14,15,15,12,15,14,13,15,10,12,15,12.875,17.16690131910394,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,9,11,13,9,14,13,12,11,11,15,12,13,13,14,15,12,11,14,11,12,10,15,14,12.25,16.762776588484698,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,11,9,14,13,13,14,14,12,15,15,9,11,11,9,15,13,11,9,11,10,10,9,13,11.708333333333334,16.683112663444888,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,14,13,15,15,15,12,11,13,10,15,12,10,10,12,15,14,11,13,12,13,10,15,9,12.625,16.916278908416544,Souss-Massa,Genie Civil(BTP)
9,12,12,15,10,10,11,15,13,13,11,11,9,9,12,15,13,13,13,14,14,15,15,15,12.458333333333334,16.71003625340619,Souss-Massa,Genie Civil(BTP)
9,10,15,9,9,12,14,14,11,12,15,9,11,9,11,15,13,12,12,15,13,13,14,13,12.083333333333334,16.517217558556528,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,10,9,11,15,12,10,14,14,10,15,9,12,11,11,15,12,9,11,13,9,14,13,15,11.875,16.549811756489987,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,9,13,10,13,12,10,10,15,10,15,13,12,14,11,15,10,9,11,11,13,12,13,10,11.916666666666666,15.64237467241195,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,11,12,12,9,10,14,15,10,9,15,9,12,13,13,15,9,11,11,11,15,15,14,13,12.041666666666666,13.811144466252928,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
14,14,12,15,15,14,14,11,14,13,9,10,12,12,11,15,9,14,12,9,14,11,15,9,12.416666666666666,13.214856888806494,Souss-Massa,Genie Mecanique
14,10,12,10,9,12,11,14,10,9,15,11,14,13,14,15,11,15,9,12,12,11,9,11,11.791666666666666,16.787151558506057,Dakhla-Oued Ed-Dahab,Genie de Procedes de l'Energie et de l'Environnement
15,15,11,15,15,13,15,15,13,10,15,9,14,12,14,15,13,15,15,15,15,10,15,15,13.708333333333334,16.73711756511648,Oriental,Genie Mecanique
10,14,14,13,13,9,9,10,13,13,15,14,9,12,9,15,10,9,9,12,9,9,15,15,11.666666666666666,15.92037913890312,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,15,14,15,12,12,10,15,15,11,11,14,12,11,13,15,15,15,15,9,15,10,14,9,12.75,15.481393756015812,Souss-Massa,Genie Mecanique
10,15,10,14,11,13,11,11,9,15,15,10,12,10,10,15,14,11,10,15,13,15,15,9,12.208333333333334,15.351635881319512,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
13,10,13,15,9,14,11,11,11,11,15,13,12,13,15,15,13,14,9,13,14,11,12,14,12.541666666666666,17.971346028268375,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,13,11,10,15,9,9,15,11,9,15,9,10,13,14,15,14,10,10,15,14,14,10,11,12.041666666666666,17.280244558742012,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
12,9,11,10,15,15,10,14,12,10,15,12,14,12,11,15,10,14,10,11,11,9,13,15,12.083333333333334,15.119484886036638,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
9,15,10,9,10,12,14,9,13,9,15,9,12,10,9,15,9,9,11,10,10,15,12,9,11.041666666666666,17.372240436200173,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
11,9,10,11,12,13,12,9,12,14,15,15,13,10,9,15,12,13,11,9,10,12,13,9,11.625,15.650332658626755,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
10,9,14,11,11,9,15,14,15,14,15,14,15,15,9,12,13,9,15,11,13,13,14,14,12.666666666666666,17.462823307488268,Beni Mellal-Khenifra,Genie Industriel
10,12,12,12,10,15,10,13,9,13,15,11,9,10,9,15,9,10,14,13,15,12,15,10,11.791666666666666,15.353917665159877,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,14,9,10,10,15,11,15,9,11,15,10,10,12,10,15,9,10,12,12,15,10,13,14,11.708333333333334,16.22791797881701,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
9,9,14,15,15,15,15,9,15,14,13,14,13,15,15,15,9,13,10,15,9,15,15,12,13.041666666666666,16.356764836099654,Guelmim-Oued Noun,Genie Civil(BTP)
15,10,15,9,13,11,15,9,11,14,9,15,12,15,14,13,15,14,15,11,10,12,12,11,12.5,17.874096765158015,Marrakech-Safi,Genie Electrique
9,11,12,10,11,10,14,10,14,15,15,13,13,11,13,12,9,13,15,15,9,11,15,13,12.208333333333334,16.610851629345945,Beni Mellal-Khenifra,Genie Industriel
15,11,11,13,15,11,13,13,14,13,14,11,11,10,10,15,14,9,15,11,11,15,15,14,12.666666666666666,13.636402842976285,Souss-Massa,Genie Industriel
10,14,13,15,11,10,10,15,15,11,15,15,11,13,12,15,9,15,9,10,10,14,13,14,12.458333333333334,16.017095785623695,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
11,14,9,10,15,10,12,12,14,11,15,9,11,9,9,15,12,14,11,12,13,12,10,9,11.625,16.866616710655162,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,11,11,14,11,14,11,15,9,10,15,14,15,9,13,15,14,13,15,10,13,14,10,9,12.458333333333334,17.838746440534102,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
12,10,15,15,13,15,10,11,14,14,15,9,14,14,11,15,10,10,13,9,11,10,12,13,12.291666666666666,14.509706575370204,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,10,10,15,12,12,10,14,11,11,15,11,9,14,11,15,13,9,13,13,15,12,15,15,12.25,16.07685244098256,Souss-Massa,Genie Civil(BTP)
12,9,12,15,10,15,10,13,13,12,15,10,10,13,9,15,12,9,15,11,9,12,14,15,12.083333333333334,13.430906702822414,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,11,11,11,14,11,15,9,14,11,14,10,15,12,15,14,11,14,14,15,13,12,15,11,12.75,17.26360386704301,Marrakech-Safi,Genie Industriel
14,10,11,14,14,15,9,15,12,11,15,13,14,14,15,15,15,15,9,11,10,13,14,15,13.041666666666666,15.88731180573851,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,11,12,15,15,12,9,12,9,15,9,12,11,9,15,15,12,15,14,10,13,13,15,14,12.375,16.873992657324457,Casablanca-Settat,Genie Mecanique
9,13,9,11,12,10,12,12,15,15,14,14,11,11,13,10,11,9,14,10,13,12,14,10,11.833333333333334,15.833344374807115,Souss-Massa,Genie Industriel
15,15,12,14,15,13,11,12,12,14,15,11,10,13,15,15,13,15,10,9,10,14,12,12,12.791666666666666,17.220388897310656,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,14,10,15,13,12,10,9,14,15,15,11,9,11,15,15,12,15,15,11,9,10,11,15,12.458333333333334,17.00353044688182,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
15,12,9,14,9,13,12,10,14,10,14,9,10,9,9,10,14,15,14,12,11,13,15,14,11.958333333333334,16.40273281572582,Souss-Massa,Genie Industriel
13,15,15,10,15,9,15,9,13,9,12,10,12,15,14,11,14,9,14,13,11,13,9,12,12.166666666666666,16.161433395229736,Souss-Massa,Genie Electrique
15,10,13,15,10,10,14,12,9,11,10,15,14,12,10,15,12,15,11,11,9,9,14,9,11.875,17.293442769361366,Souss-Massa,Genie Mecanique
11,15,10,13,12,13,11,11,11,13,15,14,12,10,14,15,13,9,14,13,14,13,14,12,12.583333333333334,14.803684501890537,Dakhla-Oued Ed-Dahab,Genie de Procedes de l'Energie et de l'Environnement
12,15,15,14,15,13,9,14,11,15,15,14,9,14,14,15,9,15,10,9,11,9,12,14,12.625,17.848589178956146,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,11,9,15,15,14,14,15,12,11,9,15,13,15,11,15,10,12,10,9,9,10,15,10,12.041666666666666,16.31092284488953,Souss-Massa,Genie Civil(BTP)
14,13,14,9,14,10,11,12,11,15,15,13,9,10,12,15,11,12,12,10,12,9,12,13,12.0,16.66848234916623,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,10,14,13,11,15,12,14,10,13,15,11,14,14,15,15,15,9,14,11,13,12,9,12,12.5,15.381059639535144,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
11,15,13,9,13,13,12,15,13,9,15,9,15,15,12,15,11,11,12,9,12,12,15,13,12.458333333333334,15.535163940932632,Tanger-Tetouan-Al Hoceima,Genie de Procedes de l'Energie et de l'Environnement
9,9,14,12,14,11,15,11,15,10,15,9,14,15,12,15,11,15,15,11,11,10,9,10,12.166666666666666,14.957199619517592,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
10,9,15,11,12,15,9,9,12,14,15,10,12,12,14,15,14,11,9,11,10,13,13,10,11.875,12.836670985962924,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,11,9,9,14,11,10,13,9,14,15,12,12,12,11,15,11,14,12,10,11,15,11,10,11.666666666666666,16.95057217798333,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
14,9,15,15,11,11,10,10,14,12,15,15,13,9,10,13,13,11,15,13,10,14,14,13,12.458333333333334,16.832503897862313,Guelmim-Oued Noun,Genie Industriel
10,9,11,15,10,9,14,10,13,11,10,15,13,13,12,15,15,15,14,11,12,12,15,9,12.208333333333334,14.557917817476955,Guelmim-Oued Noun,Genie Mecanique
15,10,10,15,14,14,15,10,13,9,11,10,9,14,13,15,13,15,14,14,9,15,15,13,12.708333333333334,12.272437632836011,Souss-Massa,Genie Mecanique
11,9,10,14,13,11,14,11,12,12,15,15,9,15,13,15,9,10,12,14,15,13,14,15,12.541666666666666,16.68608722501133,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,9,11,11,12,12,10,14,15,14,15,13,11,12,9,15,14,10,9,9,11,15,15,11,12.041666666666666,16.36534856914091,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,13,13,15,13,10,11,14,14,11,14,15,15,11,13,14,13,12,15,10,11,11,15,9,12.75,16.67933408849207,Casablanca-Settat,Genie Industriel
12,12,11,9,11,13,11,11,14,10,15,15,13,9,11,11,14,10,14,9,9,15,15,10,11.833333333333334,16.053305219330156,Casablanca-Settat,Genie Industriel
12,14,14,14,12,12,12,9,13,12,15,11,12,13,15,15,9,9,11,10,15,13,14,11,12.375,15.209774845976748,Fes-Meknes,Genie de Procedes de l'Energie et de l'Environnement
10,10,10,9,11,9,13,14,9,9,15,9,15,11,11,15,10,15,10,14,14,14,9,12,11.583333333333334,16.44853111786993,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,14,10,14,14,14,15,13,13,9,15,12,9,12,15,15,13,11,12,9,9,10,12,11,12.083333333333334,15.810878163957971,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,11,14,15,14,13,10,10,10,9,13,15,9,9,13,15,13,15,15,11,13,9,15,9,12.083333333333334,15.417927142493776,Souss-Massa,Genie Mecanique
15,10,15,9,9,14,14,11,14,15,14,14,13,10,14,11,12,9,14,15,12,11,14,9,12.416666666666666,15.181314990285887,Souss-Massa,Genie Industriel
15,15,11,11,12,15,13,12,13,9,15,13,10,13,11,15,12,10,9,15,11,11,14,9,12.25,14.003502557396615,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,10,11,14,10,14,14,13,12,10,15,15,12,15,15,15,14,13,12,15,12,11,14,14,12.875,15.868921279133843,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,9,13,10,15,13,9,9,15,15,15,9,13,12,13,11,12,9,15,13,15,10,14,12,12.25,16.160270104279036,Guelmim-Oued Noun,Genie Industriel
14,15,10,9,13,9,13,12,15,14,15,12,14,9,15,15,13,12,12,14,13,14,12,15,12.875,15.144687723500308,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
9,12,15,14,11,9,11,14,12,10,15,14,12,13,11,15,12,10,13,10,15,11,15,14,12.375,17.39679252393939,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
11,9,14,12,14,13,15,9,11,11,15,9,9,9,14,15,12,15,15,12,15,13,11,15,12.416666666666666,15.35977872509679,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,15,15,15,12,13,9,15,14,11,15,13,14,12,10,13,10,13,15,14,10,9,15,9,12.625,15.084210735588815,Rabat-Sale-Kenitra,Genie Industriel
10,9,12,13,11,13,11,11,13,13,15,9,13,14,9,15,11,12,13,9,14,11,15,13,12.041666666666666,12.688035389925384,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,15,11,13,15,11,13,13,14,12,15,9,15,10,11,15,10,12,12,10,9,12,11,9,12.166666666666666,15.052116993950346,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,9,10,15,12,11,12,10,15,11,15,14,10,13,9,15,14,12,10,10,12,13,13,10,12.083333333333334,15.764483347491607,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,10,15,9,9,11,15,10,15,9,15,15,11,9,10,15,11,12,11,12,13,11,9,12,11.666666666666666,17.286976089416292,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,11,12,11,15,14,14,12,14,11,15,12,10,13,11,13,10,14,15,10,11,13,14,15,12.541666666666666,16.869080087269214,Marrakech-Safi,Genie Industriel
10,14,12,11,9,10,11,15,13,10,15,10,13,13,11,15,12,13,13,12,9,10,15,15,12.125,14.213694498569444,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,9,11,10,15,10,13,11,14,14,15,15,12,13,10,15,13,9,12,14,14,12,14,13,12.5,17.28417872601438,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,9,15,12,14,10,10,13,13,11,15,15,10,15,11,15,14,12,15,14,11,12,9,13,12.458333333333334,16.1669730552633,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,9,10,10,10,12,15,10,9,11,15,14,15,10,9,15,10,15,12,12,12,11,10,12,11.541666666666666,16.86706377407655,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,13,12,15,10,13,15,14,12,13,15,10,14,10,14,15,9,14,9,10,11,15,12,10,12.375,16.56205549031594,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,10,12,9,15,9,11,12,14,13,15,10,13,9,9,11,11,13,15,12,12,10,14,11,11.875,15.766079439016227,Rabat-Sale-Kenitra,Genie Industriel
12,15,15,15,10,15,9,13,13,15,14,9,10,9,11,15,9,15,12,9,9,13,14,13,12.25,16.370426272913452,Casablanca-Settat,Genie Mecanique
13,15,15,13,10,12,13,13,15,14,15,12,13,13,12,15,13,9,9,12,14,9,13,10,12.583333333333334,16.85836824883876,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
11,9,9,15,15,12,15,15,13,11,12,12,12,11,9,15,11,9,14,14,14,11,15,12,12.333333333333334,16.132482014953013,Marrakech-Safi,Genie Civil(BTP)
14,14,11,15,9,11,10,11,9,13,15,9,11,10,9,15,13,12,12,11,10,15,9,13,11.708333333333334,15.86574780283111,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,10,10,11,13,13,12,12,9,9,15,11,13,13,9,15,14,12,14,11,9,15,14,14,12.125,13.287531449923836,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,10,11,15,12,15,11,14,10,15,15,10,10,10,9,15,11,10,12,11,11,13,12,12,11.875,16.784374182187932,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,14,12,13,13,14,9,15,13,11,15,14,11,13,10,15,14,12,9,10,14,15,11,12,12.625,14.752475901929326,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,12,15,11,9,12,12,12,14,14,15,10,13,9,12,13,14,13,14,12,15,11,15,10,12.583333333333334,15.256830206165624,Rabat-Sale-Kenitra,Genie Industriel
9,12,10,15,14,11,11,15,15,15,15,12,15,11,15,15,15,10,9,15,12,9,10,14,12.666666666666666,15.46280731968854,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
14,11,9,15,12,10,15,15,13,10,15,11,13,12,9,15,15,13,12,15,11,9,13,11,12.416666666666666,12.099947206119657,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
11,15,9,15,11,14,13,13,14,13,9,14,11,11,14,15,13,15,13,11,12,13,14,11,12.666666666666666,16.765528835562755,Marrakech-Safi,Genie Mecanique
10,15,13,10,15,9,9,11,12,15,15,10,14,15,10,15,15,10,15,10,14,12,14,14,12.583333333333334,12.88633273870177,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,12,15,9,14,11,10,11,14,12,15,15,11,14,9,15,14,10,9,13,14,11,15,9,12.291666666666666,13.109386857105283,Laayoune-Sakia El Hamra,Genie de Procedes de l'Energie et de l'Environnement
14,11,11,15,15,14,10,13,10,14,15,11,10,14,14,15,13,9,10,11,15,14,14,10,12.583333333333334,17.47892538048549,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,14,9,15,13,9,11,15,10,15,14,13,14,10,13,15,9,11,12,14,13,13,15,13,12.5,16.325707608630374,Marrakech-Safi,Genie Civil(BTP)
10,9,11,11,13,10,9,13,13,13,15,9,13,10,13,15,10,9,12,15,9,9,13,11,11.458333333333334,14.823186754996096,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,14,9,15,12,10,10,11,11,9,15,15,14,14,13,15,9,15,10,14,10,11,9,12,12.125,16.064371639902312,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,15,11,15,14,10,14,13,9,13,15,10,12,10,10,15,9,14,10,14,11,14,12,13,12.291666666666666,16.40967262968187,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
13,9,12,13,12,15,13,11,13,14,15,13,15,13,11,15,11,10,9,11,14,15,9,10,12.333333333333334,16.95648042568545,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,13,11,12,13,15,14,14,15,12,15,15,10,13,15,15,15,9,11,10,14,12,12,12,12.916666666666666,14.706667647612717,Fes-Meknes,Genie de Procedes de l'Energie et de l'Environnement
